@relation EXAMPLE
@attribute drawnFaceCount numeric
@attribute realFaceCount numeric
@attribute darkColorCount numeric
@attribute brightColorCount numeric
@attribute contrast numeric
@attribute homogeneity numeric
@attribute  dissimilarity numeric
@attribute energy numeric
@attribute imgType {real,cartoon}
@data
0,0,3,6,26828118,10017.5179254,624910,1066.09521151,cartoon
0,0,1,8,26221448,1423673.85004,2852480,92280.1289769,cartoon
1,0,2,7,29832256,1366094.8504,3312408,95882.5097502,cartoon
0,0,2,7,17867747,123651.034408,789141,16691.5918953,cartoon
0,0,1,8,17006911,21376.4774929,378709,2359.38975161,cartoon
0,0,1,8,16624318,109636.218393,600092,38059.893983,cartoon
0,0,3,6,9278688,333971.881719,880470,23955.4795819,cartoon
0,0,1,8,1412145749,1084442.74856,19084267,94728.0050038,cartoon
0,0,1,8,13389369,22041.2223504,382651,2774.05263108,cartoon
0,0,3,6,47431165,33660.7621332,1432361,2471.41497932,cartoon
0,0,1,8,36256245,117108.832844,912373,11789.2759744,cartoon
1,0,1,8,331059695,904872.516375,10675195,76357.6149575,cartoon
0,0,2,7,12661700,116208.035042,710632,8172.37701039,cartoon
0,0,3,6,167031073,89388.1582517,4020381,5428.65581889,cartoon
3,0,1,8,59823923,83640.4895244,1639607,6077.42124589,cartoon
0,0,2,7,26665178,82635.6101906,1027938,5980.70020984,cartoon
0,2,2,7,74621246,66182.9426256,1973372,4884.87963004,cartoon
0,0,3,6,13183596,646392.5538,1156286,46576.0989779,cartoon
0,1,4,5,15158732,18630.7076475,405422,4031.22016268,cartoon
0,0,3,6,15085401,17761.5826135,397997,1644.65619508,cartoon
0,0,3,6,10668365,91364.1116103,618235,14443.9673913,cartoon
0,0,1,8,39628306,16687.1519585,652314,3859.72563792,cartoon
1,1,1,8,53595874,158652.609623,1980764,9681.56304529,cartoon
0,0,1,8,17854280,127374.951468,760076,9350.68403915,cartoon
0,0,2,7,143277021,198885.359602,4317849,17296.4765487,cartoon
1,0,2,7,68741200,180162.918677,3090688,12064.2274514,cartoon
0,0,2,7,80958644,165255.732576,2264548,35303.5171052,cartoon
0,0,2,7,48396240,637250.755,2027464,88719.1103202,cartoon
0,0,2,7,45051475,627643.824606,2151509,83314.5177145,cartoon
0,0,3,6,19408654,6879.38939964,627886,841.382196151,cartoon
0,0,4,5,7076224,319470.771465,731580,26235.8040853,cartoon
0,0,3,6,7886608,22456.6247638,277356,2399.31990364,cartoon
0,0,3,6,23158765,81083.6873602,860733,39275.2548814,cartoon
0,1,2,7,320089669,688478.489764,5766535,110604.644559,cartoon
0,0,1,8,49201255,12477.6237036,1053881,2340.60398188,cartoon
0,0,2,7,41627149,94274.2968694,1535135,9226.87612359,cartoon
0,1,3,6,107196347,32530.5919018,2825117,2323.71598953,cartoon
0,0,2,7,23886711,6842.74442802,704209,596.120793128,cartoon
0,0,1,8,11561716,17858.5285379,361180,3448.56404899,cartoon
0,0,1,8,12074186,12222.9964311,425728,1432.89287806,cartoon
5,1,3,6,303619279,2231708.16371,14017595,136062.739918,cartoon
0,0,0,9,19790313,12776.5343478,527189,1193.07711402,cartoon
0,0,1,8,30794547,116832.27782,1106687,8884.80933954,cartoon
0,0,4,5,90590953,89386.8210503,1316473,6944.36721379,cartoon
0,0,2,7,43190696,78038.1339676,1564616,6184.31152191,cartoon
0,1,3,6,144284852,76612.0851875,2249640,22274.4918012,cartoon
0,0,0,9,23348754,595021.86061,1274404,52912.6376398,cartoon
0,0,1,8,52122654,162076.177368,1173428,14190.8322518,cartoon
0,0,4,5,14340340,21730.8792696,353592,3108.93518749,cartoon
0,0,2,7,8833007,56176.4309685,420391,6934.69819098,cartoon
0,0,3,6,10262661,16479.1895435,345227,1743.09408811,real
0,0,3,6,9481265,18177.268791,339359,1759.6258125,real
0,0,3,6,8856575,16863.2058515,347087,1842.44457176,real
1,0,4,5,6550296,103066.874406,404716,11572.8313735,real
1,0,1,8,32090385,19186.731157,561947,7860.87259787,real
0,0,3,6,7226408,100608.815976,567102,8588.97362902,real
1,0,3,6,5972140,26353.1922688,248352,10446.5221964,real
0,0,1,8,43186813,9152.75328674,799129,813.936115429,real
3,0,3,6,86182361,23821.6607592,1768187,2884.56651856,real
1,0,4,5,4716113,20049.0363665,229729,1723.08096153,real
2,0,2,7,34160574,132834.763341,1233770,12549.6012686,real
0,0,5,4,12820127,2746760.66391,3047137,253494.535077,real
0,0,1,8,41167801,8530.22571788,806371,817.975549757,real
1,0,3,6,153870099,170888.268283,4289263,57486.3330019,real
0,0,9,0,376312,30486.6443511,71762,4552.28909451,real
1,0,3,6,15967025,15715.5985665,440119,1439.53117368,real
1,0,2,7,143739452,102517.53528,4023480,10144.2158889,real
0,0,3,6,21210371,2904.70442428,619297,426.635675958,real
1,0,1,8,19261678,15204.9175721,464054,1073.62190738,real
0,0,3,6,17645675,1508794.8869,1859273,131895.763207,real
1,0,1,8,50252483,38819.9017407,1529399,2997.11194319,real
3,0,1,8,102840913,127753.136467,3699705,22361.3093311,real
1,0,3,6,14651224,121079.525336,1063432,10129.0500048,real
0,0,3,6,14020988,591546.653793,1533068,74004.7880343,real
1,0,2,7,3896639,20608.4737687,221479,2172.4621976,real
2,0,3,6,2403156,50441.4743611,328318,3837.15545685,real
2,0,3,6,19965521,9875.50862859,532107,841.95724357,real
0,0,2,7,25879287,15042.4049915,620931,1784.40802509,real
1,0,3,6,11280049,71228.1742819,1021285,6130.11337579,real
1,0,5,4,12133027,96333.6771766,488233,29121.4872903,real
0,0,6,3,6771115,154065.299341,681677,15441.7859718,real
0,0,4,5,33641450,593481.688368,1849202,91425.6397079,real
